vote_average,vote_count,revenue,runtime,adult,popularity,title_length,budget,sentiment_cluster,num_production_countries,is_produced_in_US,num_spoken_languages,is_spoken_in_English,lang_en,lang_fr,lang_es,release_month,release_Friday,release_Monday,release_Saturday,release_Sunday,release_Thursday,release_Tuesday,release_Wednesday,release_1910s,release_1920s,release_1930s,release_1940s,release_1950s,release_1960s,release_1970s,release_1980s,release_1990s,release_2000s,release_2010s,release_2020s,season_Fall,season_Spring,season_Summer,season_Winter,num_genres_list,genres_list__Action_,genres_list__Adventure_,genres_list__Animation_,genres_list__Comedy_,genres_list__Crime_,genres_list__Documentary_,genres_list__Drama_,genres_list__Family_,genres_list__Fantasy_,genres_list__History_,genres_list__Horror_,genres_list__Music_,genres_list__Mystery_,genres_list__Romance_,genres_list__Science_Fiction_,genres_list__Thriller_,genres_list__War_,genres_list__Western_,revenue_log,runtime_log,popularity_log,budget_log,num_genres_list_log,num_production_countries_log,num_spoken_languages_log,title_length_log,vote_average_category
8.385,20274,926287400.0,179,0,78.73,37,79000000.0,1,2,1,1,1,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.64669511270673,5.19295685089021,4.378645926514404,18.184958423089522,3.5553480614894135,1.0986122886681096,0.6931471805599453,3.6375861597263857,2
6.995,20269,370569774.0,124,0,43.665,34,140000000.0,1,1,1,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.730552311554884,4.8283137373023015,3.7991901971538025,18.757152987716434,3.7612001156935624,0.6931471805599453,1.3862943611198906,3.5553480614894135,1
5.909,20097,746846894.0,123,0,35.356,13,175000000.0,1,1,1,3,1,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.431370762250594,4.820281565605037,3.593359252256524,18.980296537602072,3.5553480614894135,0.6931471805599453,1.3862943611198906,2.639057329615259,1
8.02,20038,789804554.0,141,0,124.386,40,130000000.0,2,2,1,1,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.487296074083048,4.955827057601261,4.831396979223084,18.683045016112164,3.2188758248682006,1.0986122886681096,0.6931471805599453,3.713572066704308,2
6.768,20023,449326618.0,115,0,51.277,4,150000000.0,2,1,1,1,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.923260617778432,4.7535901911063645,3.956556503788954,18.826145858727198,3.5553480614894135,0.6931471805599453,0.6931471805599453,1.6094379124341003,1
6.835,19756,623933331.0,124,0,84.445,10,200000000.0,2,1,1,3,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.25155408088234,4.8283137373023015,4.447872894098872,19.11382792951231,3.7612001156935624,0.6931471805599453,1.3862943611198906,2.3978952727983707,1
7.701,19561,374218673.0,140,0,66.286,13,150000000.0,1,2,1,3,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.740350874353872,4.948759890378168,4.20895219123659,18.826145858727198,3.367295829986474,1.0986122886681096,1.3862943611198906,2.639057329615259,1
7.595,19539,855301806.0,131,0,45.2,14,180000000.0,1,1,1,1,1,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.56696495525777,4.882801922586371,3.832979798087693,19.00846741441004,3.7612001156935624,0.6931471805599453,0.6931471805599453,2.70805020110221,1
7.922,19463,857611174.0,95,0,107.292,10,175000000.0,2,1,1,1,1,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,55,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20.56966137874629,4.564348191467836,4.684831282395772,18.980296537602072,4.02535169073515,0.6931471805599453,0.6931471805599453,2.3978952727983707,1
6.682,19414,1671537444.0,124,0,54.089,14,150000000.0,0,1,1,1,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21.237009665607605,4.8283137373023015,4.008950059205152,18.826145858727198,4.007333185232471,0.6931471805599453,0.6931471805599453,2.70805020110221,1
